"CREATOR_ID","FOLLOWERS","FOLLOWING_COUNT","ENGAGEMENT","TOTAL_LIKES","DIGG_COUNT","VIDEO_COUNT","COLLAB_SCORE","HAS_BROADCAST_SCORE","PRICE_NUM","grp_ENTERTAINMENT","grp_LIFESTYLE","grp_FOOD","grp_BEAUTY","grp_FASHION","grp_GAMING","grp_TECH","grp_COMMERCE","grp_EDUCATION","grp_NEWS","grp_PETS_NATURE","grp_SPORTS","grp_TRAVEL","grp_FAMILY_KIDS","grp_HOME_DIY","grp_UNKNOWN","CATEGORY_GROUP_COUNT"
"endersff",12.9784953164508,4.57471097850338,0.88,15.9196448341857,9.09929707318286,6.52941883826223,87.8,"0",15.4249486703984,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
"aigonew1ld",11.1124628236349,2.19722457733622,11.12,14.6039683728739,6.68710860786651,5.87773578177964,81.1,"1",16.3004172910856,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
"khucanhhung",12.0021249197982,4.00733318523247,5.11,15.5733686479304,6.71174039505618,5.89440283426485,84,"1",14.2209763327389,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,5
"hieuride17x",11.2972663353656,5.36597601502185,13.8,14.8451303322882,11.8233543557429,5.54907608489522,90.9,"0",14.9141231799657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"wonrtoys",12.9002218239226,4.17438726989564,2.17,15.009433329467,7.30787278076371,4.94875989037817,89,"0",15.607270193859,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"quynhtrangtaybac",11.8159960249574,2.56494935746154,0.91,14.2209763327389,4.12713438504509,4.53259949315326,73.5,"0",13.1223653774023,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"caheomeoxinhyeu",11.5540770051843,4.89783979995091,0.48,15.8949522246441,6.70563909486,5.11799381241676,86.6,"0",13.9978329480912,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
"khcw_dat",12.2862738021885,4.90527477843843,6.43,17.0463149932234,10.9420136160929,7.27031288607902,93.9,"1",14.7318016898383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"vinhgau194",12.7402270254277,3.61091791264422,1.33,15.2505953213488,9.00871366412422,4.53259949315326,89.5,"0",15.4249486703984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"charongstudio",11.4710716883458,4.51085950651685,4.96,14.2855148122098,6.50578406012823,3.98898404656427,77.6,"1",14.7318016898383,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"vuongphamyoutuber",14.1519835088709,0.693147180559945,2.56,17.2430252804113,6.56667242980324,6.20455776256869,74,"0",14.782874940106,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4
"bongbunfamily",12.3703193315966,3.63758615972639,1.71,14.9141231799657,8.41759382619348,5.22035582507832,85.2,"0",16.1180957509583,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"hwanglong.phimanh",11.3480626141633,2.70805020110221,1.19,15.1505118878545,8.57489590154453,5.5683445037611,90.6,"0",14.7318016898383,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"mcnguyenkhang",13.4477761111256,2.63905732961526,1.73,16.0772737606047,7.17548971362422,7.37086016653672,73.9,"0",14.5086582385241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"bachvatngu",11.7456311529881,1.6094379124341,2.59,15.5019096967197,7.56164174558878,5.24174701505964,90,"1",12.4292201968364,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
