_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
congoctuongso,N/A,71.9,Unknown,2.91%,602.7K,congoctuongso,23.8K,Cô Ngọc Tướng Số,"50,000,000 VND",Talent Showcase,602700.0,2.91,23800.0,50000000.0,,71.9,['Talent Showcase'],1,0,0,0,0,1,0,13.309176498670025,10.077482875583607,17.72753358339242,False,False,False,True,high,mid,['Others'],Others,True,mid | high | Others
namdireview,91.6,77.1,Unknown,2.85%,412.7K,namdireview,14.8K,Nam Đi Review.,"10,000,000 VND","Other Beauty & Personal Care, Beauty & Personal Care, Tech Products & Tests, Appliances, Tech & Electronics",412700.0,2.85,14800.0,10000000.0,91.6,77.1,"['Other Beauty & Personal Care', 'Beauty & Personal Care', 'Tech Products & Tests', 'Appliances', 'Tech & Electronics']",5,0,0,0,0,0,0,12.930478638805342,9.60245002503719,16.118095750958314,False,False,False,False,high,micro,"['Others', 'Beauty & Fashion', 'Knowledge / Tech']",Others,True,micro | high | Others
maxpxt,N/A,73.8,Unknown,3.39%,433.6K,maxpxt,1.1K,Max (maxpxt),"1,300,000 VND",Non-video Games,433600.0,3.39,1100.0,1300000.0,,73.8,['Non-video Games'],1,0,0,0,0,1,0,12.979880035377978,7.00397413672268,14.077875591662238,False,False,False,False,mid,micro,['Others'],Others,True,micro | mid | Others
hienonha,N/A,88.6,Unknown,2.21%,836.7K,hienonha,469K,Hiển Ở Nhà,"7,000,000 VND","Fishing, Hunting, & Camping, Home & Garden, Mukbang & Food Tasting",836700.0,2.21,469000.0,7000000.0,,88.6,"['Fishing', 'Hunting', '& Camping', 'Home & Garden', 'Mukbang & Food Tasting']",5,0,0,0,0,1,0,13.637222057454483,13.058360179622305,15.76142084987672,True,False,True,False,high,mid,"['Others', 'Lifestyle']",Others,True,mid | high | Others
trinhle1707,95.8,96.6,Unknown,1.40%,2M,trinhle1707,12.5K,Lê Trinh,"58,297,000 VND","Skincare, Beauty & Personal Care, Health, E-Commerce (Non-app), Beauty Tutorials & Tips",2000000.0,1.4,12500.0,58297000.0,95.8,96.6,"['Skincare', 'Beauty & Personal Care', 'Health', 'E-Commerce (Non-app)', 'Beauty Tutorials & Tips']",5,0,0,0,0,0,0,14.508658238524095,9.433563920090563,17.88106120917427,True,False,False,True,high,macro,"['Others', 'Beauty & Fashion']",Others,True,macro | high | Others
giadinhshinleo,N/A,86.2,Unknown,1.53%,230.5K,giadinhshinleo,45.5K,Gia đình Shin Leo 🐷🐯,"3,000,000 VND","Skincare, Restaurant Exploration, Family, Beauty & Personal Care, Tech Products & Tests, Baby, Kids & Maternity",230500.0,1.53,45500.0,3000000.0,,86.2,"['Skincare', 'Restaurant Exploration', 'Family', 'Beauty & Personal Care', 'Tech Products & Tests', 'Baby', 'Kids & Maternity']",7,0,0,0,0,1,0,12.348010479804223,10.725489582719506,14.914123179965662,False,False,False,False,mid,micro,"['Others', 'Lifestyle', 'Beauty & Fashion', 'Knowledge / Tech']",Others,True,micro | mid | Others
.hoang.kha.71,N/A,74,Unknown,10.76%,283.7K,.hoang.kha.71,2.3K,HOÀNG KHA 🇻🇳,"500,000 VND",Automobiles,283700.0,10.76,2300.0,500000.0,,74.0,['Automobiles'],1,0,0,0,0,1,0,12.555676145640925,7.741099090035366,13.122365377402328,False,False,False,False,low,micro,['Others'],Others,True,micro | low | Others
ngamazing,93.8,76.8,Unknown,2.36%,104.2K,ngamazing,48.3K,Ngamazing,"5,000,000 VND","Hair Design & Care, E-Commerce (Non-app), Family, News & Entertainment, Other Beauty & Personal Care, Beauty & Personal Care, Home & Garden",104200.0,2.36,48300.0,5000000.0,93.8,76.8,"['Hair Design & Care', 'E-Commerce (Non-app)', 'Family', 'News & Entertainment', 'Other Beauty & Personal Care', 'Beauty & Personal Care', 'Home & Garden']",7,0,0,0,0,0,0,11.554077005184336,10.785207543360087,15.424948670398354,False,False,False,False,high,micro,"['Others', 'Lifestyle', 'Entertainment', 'Beauty & Fashion']",Others,True,micro | high | Others
duybaby65,N/A,84.5,Unknown,4.22%,217.2K,duybaby65,8.4K,Duybaby🔥🔥🔥,"2,500,000 VND","Home Improvement, Cooking & Recipes, Daily Life, Wildlife & Exotic Pets",217200.0,4.22,8400.0,2500000.0,,84.5,"['Home Improvement', 'Cooking & Recipes', 'Daily Life', 'Wildlife & Exotic Pets']",4,0,0,0,0,1,0,12.288578471082884,9.036106025364846,14.731801689838349,False,False,False,False,mid,micro,"['Others', 'Lifestyle']",Others,True,micro | mid | Others
plyn_291,95.5,78.5,Unknown,5.15%,87.1K,plyn_291,6.3K,Trần Phương Linh,"100,000 VND","Fashion and Body Art, Lip Syncing",87100.0,5.15,6300.0,100000.0,95.5,78.5,"['Fashion and Body Art', 'Lip Syncing']",2,0,0,0,0,0,0,11.374823643830945,8.748463629942055,11.51293546492023,False,False,False,False,low,micro,"['Others', 'Entertainment']",Others,True,micro | low | Others
