_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
congngheso212,N/A,76.6,Unknown,2.88%,73.9K,congngheso212,28.4K,công nghệ số 4.0,"1,000,000 VND",Jobs & Careers,73900.0,2.88,28400.0,1000000.0,,76.6,['Jobs & Careers'],1,0,0,0,0,1,0,11.210481638644469,10.254179634797001,13.815511557963774,False,False,False,False,mid,micro,['Others'],Others,True,micro | mid | Others
vivanthuyofficial,N/A,71.6,Unknown,2.46%,57.5K,vivanthuyofficial,10.5K,Thuỷ tộc Cao Lan 🌾🌾,"3,000,000 VND",Restaurant Exploration,57500.0,2.46,10500.0,3000000.0,,71.6,['Restaurant Exploration'],1,0,0,0,0,1,0,10.959557617938563,9.259225769705994,14.914123179965662,False,False,False,False,mid,micro,['Lifestyle'],Lifestyle,True,micro | mid | Lifestyle
nhungnaomi_87,N/A,79.3,Unknown,1.94%,87.8K,nhungnaomi_87,6.7K,Nhung Dinh861,"200,000 VND","Movies & TV, Skits",87800.0,1.94,6700.0,200000.0,,79.3,"['Movies & TV', 'Skits']",2,0,0,0,0,1,0,11.382828169079987,8.81001204797317,12.206077645517674,False,False,False,False,low,micro,"['Entertainment', 'Others']",Entertainment,True,micro | low | Entertainment
kamuiyewgame,91,77.3,Unknown,1.98%,299.4K,kamuiyewgame,64.6K,Kamui YewGame,"7,000,000 VND",Non-video Games,299400.0,1.98,64599.99999999999,7000000.0,91.0,77.3,['Non-video Games'],1,0,0,0,0,0,0,12.609539090975447,11.075985169527042,15.76142084987672,False,False,False,False,high,micro,['Others'],Others,True,micro | high | Others
_tuanhoang_,N/A,86.7,Unknown,1.71%,474.2K,_tuanhoang_,3.1K,Lại là Tuấn đây,"5,000,000 VND","Daily Life, Business & Finance, Career Development",474200.0,1.71,3100.0,5000000.0,,86.7,"['Daily Life', 'Business & Finance', 'Career Development']",3,0,0,0,0,1,0,13.069386561426064,8.03947991910045,15.424948670398354,False,False,False,False,high,micro,"['Lifestyle', 'Others']",Lifestyle,True,micro | high | Lifestyle
captionconggiao_2026,96.2,80,Unknown,11.11%,11.8K,captionconggiao_2026,6.8K,Caption Công Giáo🇻🇦,"190,000 VND",Love & Romantic Relationships,11800.0,11.11,6800.0,190000.0,96.2,80.0,['Love & Romantic Relationships'],1,0,0,0,0,0,0,9.375939552625749,8.824824939175638,12.154784614286667,False,False,False,False,low,micro,['Lifestyle'],Lifestyle,True,micro | low | Lifestyle
buihonganhofficial,91.7,93.9,Unknown,0.86%,309.8K,buihonganhofficial,5.8K,Bùi Hồng Anh OFFICIAL,"3,500,000 VND",Beauty Tutorials & Tips,309800.0,0.86,5800.0,3500000.0,91.7,93.9,['Beauty Tutorials & Tips'],1,0,0,0,0,0,0,12.643685434848656,8.665785595466064,15.068273812173887,False,False,False,False,mid,micro,['Beauty & Fashion'],Beauty & Fashion,True,micro | mid | Beauty & Fashion
mannhireview297,N/A,82.8,Unknown,1.73%,113.1K,mannhireview297,82.6K,Mẫn Nhi Review 🎀,"3,000,000 VND",Beauty Tutorials & Tips,113100.0,1.73,82600.0,3000000.0,,82.8,['Beauty Tutorials & Tips'],1,0,0,0,0,1,0,11.636036503798104,11.321777065973317,14.914123179965662,False,False,False,False,mid,micro,['Beauty & Fashion'],Beauty & Fashion,True,micro | mid | Beauty & Fashion
taiphamreview,N/A,79.2,Unknown,1.72%,203.9K,taiphamreview,37.4K,Tài hay review ✅,"4,500,000 VND","Tech Products & Tests, Outfits",203900.0,1.72,37400.0,4500000.0,,79.2,"['Tech Products & Tests', 'Outfits']",2,0,0,0,0,1,0,12.225389860915405,10.529452721013085,15.319588176962746,False,False,False,False,high,micro,"['Knowledge / Tech', 'Beauty & Fashion']",Knowledge / Tech,True,micro | high | Knowledge / Tech
taimeme07,97.4,78.1,Unknown,5.87%,57.6K,taimeme07,18.5K,TÀI-MEME,"470,000 VND","Comedy, Video Games",57600.0,5.87,18500.0,470000.0,97.4,78.1,"['Comedy', 'Video Games']",2,0,0,0,0,0,0,10.961295207644392,9.825580063659602,13.060490101343552,False,False,False,False,low,micro,"['Entertainment', 'Knowledge / Tech']",Entertainment,True,micro | low | Entertainment
lyst147,N/A,77.4,Unknown,5.45%,248.9K,lyst147,6.2K,LYsT 147,"1,315,500 VND","Pet Tips & Care, Wildlife & Exotic Pets, Outfits",248900.0,5.45,6200.0,1315500.0,,77.4,"['Pet Tips & Care', 'Wildlife & Exotic Pets', 'Outfits']",3,0,0,0,0,1,0,12.424810506025395,8.732465848349879,14.089728139629432,False,False,False,False,mid,micro,"['Others', 'Beauty & Fashion']",Others,True,micro | mid | Others
chuyencuacun.1001,91.6,93.2,Unknown,3.28%,135.4K,chuyencuacun.1001,168.9K,Cunn.1001,"5,000,000 VND","Daily Life, Beauty Tutorials & Tips",135400.0,3.28,168900.0,5000000.0,91.6,93.2,"['Daily Life', 'Beauty Tutorials & Tips']",2,0,0,0,0,0,0,11.81599602495741,12.03706802344148,15.424948670398354,False,False,True,False,high,micro,"['Lifestyle', 'Beauty & Fashion']",Lifestyle,True,micro | high | Lifestyle
duongduy0404,N/A,72.7,Unknown,12.13%,2.6M,duongduy0404,95.3K,Dương Duy,"9,000,000 VND","Outfits, Skits, News & Entertainment, Comedy",2600000.0,12.13,95300.0,9000000.0,,72.7,"['Outfits', 'Skits', 'News & Entertainment', 'Comedy']",4,0,0,0,0,1,0,14.77102238760702,11.464795582766675,16.012735246411598,True,False,False,False,high,macro,"['Beauty & Fashion', 'Others', 'Entertainment']",Beauty & Fashion,True,macro | high | Beauty & Fashion
tuanvupham3333,95.1,79.9,Unknown,2.68%,331.3K,tuanvupham3333,87.9K,Tuan Vu Pham,"10,000,000 VND",Outfits,331300.0,2.68,87900.0,10000000.0,95.1,79.9,['Outfits'],1,0,0,0,0,0,0,12.710782606695746,11.383966460172834,16.118095750958314,False,False,False,False,high,micro,['Beauty & Fashion'],Beauty & Fashion,True,micro | high | Beauty & Fashion
engsoup_ducy,90.6,75.6,Unknown,4.31%,798.9K,engsoup_ducy,16.2K,Ducy (Đu-Xi Ưa Đi),"2,500,000 VND","News & Entertainment, Restaurant Exploration, Food & Beverage",798900.0,4.31,16200.0,2500000.0,90.6,75.6,"['News & Entertainment', 'Restaurant Exploration', 'Food & Beverage']",3,0,0,0,0,0,0,13.590992312190467,9.692828247710418,14.731801689838349,True,False,False,False,mid,mid,"['Entertainment', 'Lifestyle', 'Others']",Entertainment,True,mid | mid | Entertainment
maygardentiktok,N/A,75.2,Unknown,1.42%,2.3M,maygardentiktok,137.9K,MÂY Garden,"263,100 VND","Fishing, Hunting, & Camping, Home & Garden",2300000.0,1.42,137900.0,263100.0,,75.2,"['Fishing', 'Hunting', '& Camping', 'Home & Garden']",4,0,0,0,0,1,0,14.648420115681892,11.834291315386718,12.480293267857345,True,False,False,False,low,macro,['Others'],Others,True,macro | low | Others
troxlacci,94.4,90.9,Unknown,3.48%,2.5M,troxlacci,910.6K,Trox & Lacci,"80,000,000 VND","Fragrances & Perfumes, Food & Beverage, Family, Love & Romantic Relationships, Daily Life, News & Entertainment, Beauty & Personal Care",2500000.0,3.48,910600.0,80000000.0,94.4,90.9,"['Fragrances & Perfumes', 'Food & Beverage', 'Family', 'Love & Romantic Relationships', 'Daily Life', 'News & Entertainment', 'Beauty & Personal Care']",7,0,0,0,0,0,0,14.731801689838349,13.721860100059242,18.197537205138154,True,False,True,True,high,macro,"['Others', 'Lifestyle', 'Entertainment', 'Beauty & Fashion']",Others,True,macro | high | Others
catooblarus,94.8,78.1,Unknown,4.17%,13.2K,catooblarus,62.2K,Catoo ౨ৎ,"100,000 VND",Video Games,13200.0,4.17,62200.0,100000.0,94.8,78.1,['Video Games'],1,0,0,0,0,0,0,9.488047863280759,11.038126355768453,11.51293546492023,False,False,False,False,low,micro,['Knowledge / Tech'],Knowledge / Tech,True,micro | low | Knowledge / Tech
maiyen3366,N/A,84.8,Unknown,1.35%,156K,maiyen3366,50.3K,Mai Yên,"1,500,000 VND","Household Products, Beauty Tutorials & Tips, Tech Products & Tests, Appliances, Baby, Kids & Maternity",156000.0,1.35,50300.0,1500000.0,,84.8,"['Household Products', 'Beauty Tutorials & Tips', 'Tech Products & Tests', 'Appliances', 'Baby', 'Kids & Maternity']",6,0,0,0,0,1,0,11.957617696467539,10.825780236605917,14.220976332738882,False,False,False,False,mid,micro,"['Others', 'Beauty & Fashion', 'Knowledge / Tech']",Others,True,micro | mid | Others
gonpinkk,N/A,82.2,Unknown,6.24%,3.3M,gonpinkk,86.1K,Gon Pink,"15,000,000 VND","Beauty Tutorials & Tips, Skincare, Skits, Daily Life, News & Entertainment, Apparel & Accessories, Beauty & Personal Care",3300000.0,6.24,86100.0,15000000.0,,82.2,"['Beauty Tutorials & Tips', 'Skincare', 'Skits', 'Daily Life', 'News & Entertainment', 'Apparel & Accessories', 'Beauty & Personal Care']",7,0,0,0,0,1,0,15.009433329466965,11.363276304750233,16.52356082573315,True,False,False,True,high,macro,"['Beauty & Fashion', 'Others', 'Lifestyle', 'Entertainment']",Beauty & Fashion,True,macro | high | Beauty & Fashion
