_id,broadcast_score,collab_score,country,engagement,followers,creator_id,median_views,name,price,category,followers_num,engagement_num,median_views_num,price_num,broadcast_score_num,collab_score_num,category_list,n_categories,followers_num_missing,engagement_num_missing,median_views_num_missing,price_num_missing,broadcast_score_num_missing,collab_score_num_missing,followers_num_log1p,median_views_num_log1p,price_num_log1p,followers_num_outlier_iqr,engagement_num_outlier_iqr,median_views_num_outlier_iqr,price_num_outlier_iqr,price_tier,size_tier,category_group_list,primary_category_group,is_usable_for_clustering,sampling_stratum
maitrithuc2020,95.8,80.6,Unknown,9.41%,2M,maitrithuc2020,845.6K,Mai Trí Thức,Thỏa thuận/Chưa đặt,Comedy,2000000.0,9.41,845600.0,,95.8,80.6,['Comedy'],1,0,0,0,1,0,0,14.508658238524095,13.647802896129708,,True,False,True,False,missing,MACRO,['Entertainment'],Entertainment,True,macro | missing | Entertainment
mikeden,95.8,81.5,Unknown,6.91%,4.1M,mikeden,229.5K,Mike Đen,"2,700,000 VND","Non-video Games, Games, Video Games, Apps, Household Products",4099999.9999999995,6.91,229500.0,2700000.0,95.8,81.5,"['Non-video Games', 'Games', 'Video Games', 'Apps', 'Household Products']",5,0,0,0,0,0,0,15.226497775576945,12.343662665771719,14.80876270134486,True,False,True,False,mid,MACRO,"['Others', 'Knowledge / Tech']",Others,True,macro | mid | Others
dntminh,92.3,76.9,Unknown,13.47%,2.6M,dntminh,670.1K,Vitamin Mèo,Thỏa thuận/Chưa đặt,"Pet Tips & Care, Appliances, Pets, Health",2600000.0,13.47,670100.0,,92.3,76.9,"['Pet Tips & Care', 'Appliances', 'Pets', 'Health']",4,0,0,0,1,0,0,14.77102238760702,13.415183726274728,,True,False,True,False,missing,MACRO,['Others'],Others,True,macro | missing | Others
hoangvinhhh,94.4,78.6,Unknown,6.83%,12.4M,hoangvinhhh,598.7K,Nguyễn Hoàng Vinh,"13,155,000 VND","News & Entertainment, Lip Syncing",12400000.0,6.83,598700.0,13155000.0,94.4,78.6,"['News & Entertainment', 'Lip Syncing']",2,0,0,0,0,0,0,16.333207111220425,13.302517587197668,16.39231254847325,True,False,True,True,high,MACRO,['Entertainment'],Entertainment,True,macro | high | Entertainment
theanh28gaming,91.8,85.7,Unknown,4.19%,2.6M,theanh28gaming,23.1K,Theanh28 Gaming,Thỏa thuận/Chưa đặt,"Social News & Events, Shooting Games, Games, Video Games, Life Services, Wig & Hair Styling, Beauty & Personal Care",2600000.0,4.19,23100.0,,91.8,85.7,"['Social News & Events', 'Shooting Games', 'Games', 'Video Games', 'Life Services', 'Wig & Hair Styling', 'Beauty & Personal Care']",7,0,0,0,1,0,0,14.77102238760702,10.047631185616188,,True,False,False,False,missing,MACRO,"['Others', 'Knowledge / Tech', 'Beauty & Fashion']",Others,True,macro | missing | Others
bongtim96,90.2,76.5,Unknown,8.77%,6.4M,bongtim96,751.6K,Bông Tím,Thỏa thuận/Chưa đặt,"Food & Beverage, Comedy, Daily Life, News & Entertainment, E-Commerce (Non-app)",6400000.0,8.77,751600.0,,90.2,76.5,"['Food & Beverage', 'Comedy', 'Daily Life', 'News & Entertainment', 'E-Commerce (Non-app)']",5,0,0,0,1,0,0,15.671808704579888,13.529960877015506,,True,False,True,False,missing,MACRO,"['Others', 'Entertainment', 'Lifestyle']",Others,True,macro | missing | Others
ninhanh01,94.4,77.7,Unknown,8.79%,2.5M,ninhanh01,621.6K,Ninh Anh,"9,000,000 VND","Dance, Lip Syncing",2500000.0,8.79,621600.0,9000000.0,94.4,77.7,"['Dance', 'Lip Syncing']",2,0,0,0,0,0,0,14.731801689838349,13.34005368678589,16.012735246411598,True,False,True,False,high,MACRO,['Entertainment'],Entertainment,True,macro | high | Entertainment
thelyricsconnection,N/A,74.7,Unknown,7.95%,2M,thelyricsconnection,402.4K,The Lyrics Connection,Thỏa thuận/Chưa đặt,Music,2000000.0,7.95,402400.0,,,74.7,['Music'],1,0,0,0,1,1,0,14.508658238524095,12.905204382854041,,True,False,True,False,missing,MACRO,['Entertainment'],Entertainment,True,macro | missing | Entertainment
vinhthichanngon,95.1,81,Unknown,7.41%,2M,vinhthichanngon,111.7K,Vĩnh Thích Ăn Ngon,Thỏa thuận/Chưa đặt,"Travel, Restaurant Exploration, Daily Life, Food & Beverage",2000000.0,7.41,111700.0,,95.1,81.0,"['Travel', 'Restaurant Exploration', 'Daily Life', 'Food & Beverage']",4,0,0,0,1,0,0,14.508658238524095,11.623580937568695,,True,False,False,False,missing,MACRO,"['Others', 'Lifestyle']",Others,True,macro | missing | Others
tin_nguyen_9,91.6,79.4,Unknown,5.43%,5.5M,tin_nguyen_9,334.5K,Tín Nguyễn,Thỏa thuận/Chưa đặt,"Daily Life, Skincare, News & Entertainment, Beauty & Personal Care",5500000.0,5.43,334500.0,,91.6,79.4,"['Daily Life', 'Skincare', 'News & Entertainment', 'Beauty & Personal Care']",4,0,0,0,1,0,0,15.520258832020865,12.720395148082574,,True,False,True,False,missing,MACRO,"['Lifestyle', 'Others', 'Entertainment', 'Beauty & Fashion']",Lifestyle,True,macro | missing | Lifestyle
mamtv.31,94.4,80.2,Unknown,6.84%,2.5M,mamtv.31,471.6K,MắmTiZii✨,Thỏa thuận/Chưa đặt,"Travel, Video Games, Animation & Cosplay, News & Entertainment",2500000.0,6.84,471600.0,,94.4,80.2,"['Travel', 'Video Games', 'Animation & Cosplay', 'News & Entertainment']",4,0,0,0,1,0,0,14.731801689838349,13.063888568084156,,True,False,True,False,missing,MACRO,"['Others', 'Knowledge / Tech', 'Entertainment']",Others,True,macro | missing | Others
iamsarajoe,98.6,77.6,Unknown,9.65%,3.4M,iamsarajoe,953.2K,sara joe,"4,412,543 VND","Lip Syncing, Cosmetics, Dance, Beauty & Personal Care",3400000.0,9.65,953200.0,4412543.0,98.6,77.6,"['Lip Syncing', 'Cosmetics', 'Dance', 'Beauty & Personal Care']",4,0,0,0,0,0,0,15.039286283703994,13.76758107330395,15.299961951845361,True,False,True,False,high,MACRO,"['Entertainment', 'Others', 'Beauty & Fashion']",Entertainment,True,macro | high | Entertainment
gonpinkk,N/A,82.2,Unknown,6.24%,3.3M,gonpinkk,86.1K,Gon Pink,"15,000,000 VND","Beauty Tutorials & Tips, Skincare, Skits, Daily Life, News & Entertainment, Apparel & Accessories, Beauty & Personal Care",3300000.0,6.24,86100.0,15000000.0,,82.2,"['Beauty Tutorials & Tips', 'Skincare', 'Skits', 'Daily Life', 'News & Entertainment', 'Apparel & Accessories', 'Beauty & Personal Care']",7,0,0,0,0,1,0,15.009433329466965,11.363276304750233,16.52356082573315,True,False,False,True,high,MACRO,"['Beauty & Fashion', 'Others', 'Lifestyle', 'Entertainment']",Beauty & Fashion,True,macro | high | Beauty & Fashion
tuankiet.2000,94.4,79.6,Unknown,6.96%,10.1M,tuankiet.2000,749.3K,Kiệt Hà Tịnh,Thỏa thuận/Chưa đặt,"Fragrances & Perfumes, Lip Syncing, Comedy, News & Entertainment, Dance, Household Products, Beauty & Personal Care",10100000.0,6.96,749300.0,,94.4,79.6,"['Fragrances & Perfumes', 'Lip Syncing', 'Comedy', 'News & Entertainment', 'Dance', 'Household Products', 'Beauty & Personal Care']",7,0,0,0,1,0,0,16.128046080821385,13.526896050930452,,True,False,True,False,missing,MACRO,"['Others', 'Entertainment', 'Beauty & Fashion']",Others,True,macro | missing | Others
hphuoc.2003,94.4,79.2,Unknown,6.23%,2.4M,hphuoc.2003,270.1K,Hồng Phước 🐰 🥕,Thỏa thuận/Chưa đặt,"Dance, Lip Syncing",2400000.0,6.23,270100.0,,94.4,79.2,"['Dance', 'Lip Syncing']",2,0,0,0,1,0,0,14.690979711984754,12.506551242106323,,True,False,True,False,missing,MACRO,['Entertainment'],Entertainment,True,macro | missing | Entertainment
